Date,EUA_Last,EUA_Settle,Oil_Last,Oil_Settle,Coal_Last,Coal_Settle,Gas_Last,Gas_Settle,Elec_Last,Elec_Settle,GSCI_Last,VIX_Last,STOXX_Last,AAA_Last,BAA_Last,Diff_BAA_AAA,CER_Last,CER_Settle,ecb_spot_3m
20040623,,,35.03,35.03,,,,,28.14,28.14,291.0003,13.98,241.02,5.98,6.77,0.79,,,
20040624,,,35.3,35.3,,,,,28.08,28.08,293.9008,14.81,242.01,5.95,6.72,0.77,,,
20040625,,,34.97,34.97,,,,,27.85,27.85,291.7227,15.19,242.04,5.95,6.73,0.78,,,
20040628,,,33.7,33.7,,,,,27.44,27.44,283.4072,16.07,243.6,6.03,6.8,0.77,,,
20040629,,,33.11,33.11,,,,,27.35,27.35,280.3381,15.47,242.48,5.98,6.76,0.78,,,
20040630,,,34.5,34.5,,,,,28.65,28.65,286.3553,14.34,240.86,5.91,6.71,0.8,,,
20040701,,,36.07,36.07,,,,,28.27,28.27,294.2479,15.2,240.08,5.89,6.69,0.8,,,
20040702,,,35.92,35.92,,,,,28.15,28.15,293.2093,15.08,238.44,5.81,6.61,0.8,,,
20040705,,,36.3,36.3,,,,,28.18,28.18,293.2093,15.08,238.3,5.81,6.61,0.8,,,
20040706,,,37.18,37.18,,,,,28.04,28.04,299.933,16.25,237.08,5.83,6.63,0.8,,,
20040707,,,36.61,36.61,,,,,26.76,26.76,297.9167,15.81,236.74,5.83,6.63,0.8,,,
20040708,,,37.77,37.77,,,,,26.82,26.82,301.0453,16.2,237.44,5.83,6.63,0.8,,,
20040709,,,37.05,37.05,,,,,26.46,26.46,298.7294,15.78,237.32,5.83,6.63,0.8,,,
20040712,,,36.63,36.63,,,,,26.57,26.57,295.2603,14.96,236.33,5.81,6.61,0.8,,,
20040713,,,36.69,36.69,,,,,26.88,26.88,293.6461,14.46,236.7,5.84,6.64,0.8,,,
20040714,,,38.54,38.54,,,,,26.86,26.86,300.9135,13.76,236.23,5.83,6.62,0.79,,,
20040715,,,38.11,38.11,,,,,27.39,27.39,298.6472,14.71,233.8,5.83,6.62,0.79,,,
20040716,,,38,38,,,,,27.08,27.08,299.767,14.34,234.32,5.73,6.53,0.8,,,
20040719,,,37.9,37.9,,,,,27.33,27.33,299.8597,15.17,233.14,5.73,6.52,0.79,,,
20040720,,,37.01,37.01,,,,,26.68,26.68,295.2277,14.17,233.53,5.78,6.59,0.81,,,
20040721,,,37.16,37.16,,,,,27.11,27.11,294.8605,16.41,235.81,5.81,6.62,0.81,,,
20040722,,,38.01,38.01,,,,,27.27,27.27,299.8117,15.75,232.2,5.8,6.61,0.81,,,
20040723,,,38.27,38.27,,,,,27.23,27.23,301.2252,16.5,232.8,5.77,6.58,0.81,,,
20040726,,,38.11,38.11,,,,,27.05,27.05,298.6093,17.3,230.71,5.8,6.6,0.8,,,
20040727,,,38.54,38.54,,,,,26.9,26.9,299.8764,16.55,232.67,5.91,6.71,0.8,,,
20040728,,,39.53,39.53,,,,,26.97,26.97,304.9507,16.15,233.45,5.91,6.71,0.8,,,
20040729,,,39.25,39.25,,,,,27.05,27.05,304.0538,15.68,236.09,5.9,6.69,0.79,,,
20040730,,,40.03,40.03,,,,,27.32,27.32,307.4776,15.32,236.4,5.81,6.6,0.79,,,
20040802,,,39.97,39.97,,,,,28.34,28.34,305.96,15.37,236.14,5.79,6.61,0.82,,,
20040803,,,40.64,40.64,,,,,29.31,29.31,307.4211,16.03,236.81,5.77,6.59,0.82,,,
20040804,,,39.7,39.7,,,,,29.31,29.31,300.8193,16.21,234.9,5.77,6.59,0.82,,,
20040805,,,41.12,41.12,,,,,29.6,29.6,307.6014,18.32,235.29,5.75,6.57,0.82,,,
20040806,,,40.63,40.63,,,,,29.84,29.84,304.7612,19.34,229.97,5.64,6.46,0.82,,,
20040809,,,41.56,41.56,,,,,30.37,30.37,308.8501,18.89,228.01,5.65,6.47,0.82,,,
20040810,,,41.28,41.28,,,,,30.53,30.53,307.3524,17.47,229.4,5.67,6.5,0.83,,,
20040811,,,41.57,41.57,,,,,31.47,31.47,306.7517,18.04,227.77,5.67,6.47,0.8,,,
20040812,,,42.29,42.29,,,,,31.2,31.2,309.1815,19.08,227.35,5.66,6.46,0.8,,,
20040813,,,43.88,43.88,,,,,30.5,30.5,315.2628,17.98,226.57,5.61,6.42,0.81,,,
20040816,,,43.67,43.67,,,,,30.22,30.22,312.8,17.57,228.74,5.64,6.46,0.82,,,
20040817,,,42.99,42.99,,,,,29.62,29.62,315.3857,17.02,229.06,5.6,6.42,0.82,,,
20040818,,,43.03,43.03,,,,,29.48,29.48,315.3433,16.23,229.16,5.62,6.43,0.81,,,
20040819,,,44.33,44.33,,,,,29.31,29.31,322.0625,16.96,229.66,5.6,6.42,0.82,,,
20040820,,,43.54,43.54,,,,,29.16,29.16,318.4112,16,229.09,5.61,6.43,0.82,,,
20040823,,,43.03,43.03,,,,,29.35,29.35,314.8239,15.88,232.17,5.65,6.47,0.82,,,
20040824,,,42.32,42.32,,,,,29.6,29.6,310.7077,15.33,231.88,5.65,6.46,0.81,,,
20040825,,,40.68,40.68,,,,,29.41,29.41,302.3603,14.98,232.56,5.63,6.44,0.81,,,
20040826,,,40.33,40.33,,,,,29.31,29.31,299.1373,14.91,234.45,5.6,6.41,0.81,,,
20040827,,,40.64,40.64,,,,,29.29,29.29,298.6248,14.71,236.24,5.6,6.41,0.81,,,
20040830,,,40.64,40.64,,,,,29.25,29.25,297.1121,15.44,235.89,5.57,6.38,0.81,,,
20040831,,,39.61,39.61,,,,,32.4,32.4,295.5954,15.29,233.63,5.51,6.32,0.81,,,
20040901,,,41.47,41.47,,,,,32.11,32.11,303.7866,14.91,235.21,5.51,6.33,0.82,,,
20040902,,,41.57,41.57,,,,,31.91,31.91,302.5229,14.28,236.11,5.55,6.37,0.82,,,
20040903,,,41.23,41.23,,,,,32.12,32.12,300.0787,13.91,237.95,5.63,6.45,0.82,,,
20040906,,,40.62,40.62,,,,,33.26,33.26,300.0787,13.91,238.79,5.63,6.45,0.82,,,2.034172
20040907,,,40.76,40.76,,,,,32.4,32.4,297.4387,14.07,238.67,5.57,6.39,0.82,,,2.040893
20040908,,,40.39,40.39,,,,,31.7,31.7,296.3365,14.06,238.6,5.51,6.33,0.82,,,2.044384
20040909,,,42.22,42.22,,,,,32.15,32.15,305.7081,14.01,237.14,5.55,6.37,0.82,,,2.037111
20040910,,,40.2,40.2,,,,,32.44,32.44,299.0625,13.76,237.95,5.53,6.35,0.82,,,2.034645
20040913,,,41.06,41.06,,,,,32.54,32.54,305.925,13.17,240,5.5,6.31,0.81,,,2.041363
20040914,,,41.73,41.73,,,,,32.5,32.5,309.2661,13.56,239.18,5.49,6.3,0.81,,,2.037903
20040915,,,41.85,41.85,,,,,32.83,32.83,305.1364,14.64,238.7,5.51,6.32,0.81,,,2.040883
20040916,,,40.75,40.75,,,,,32.69,32.69,305.959,14.39,239.75,5.43,6.24,0.81,,,2.047758
20040917,,,42.45,42.45,,,,,32.44,32.44,314.0051,14.03,241.11,5.47,6.27,0.8,,,2.050293
20040920,,,42.91,42.91,,,,,31.43,31.43,316.4033,14.43,240.26,5.42,6.21,0.79,,,2.046296
20040921,,,43.39,43.39,,,,,31.38,31.38,322.6001,13.66,241.37,5.39,6.19,0.8,,,2.050189
20040922,,,44.93,44.93,,,,,31.7,31.7,329.5592,14.74,240.01,5.33,6.13,0.8,,,2.052665
20040923,,,45.13,45.13,,,,,31.72,31.72,330.1994,14.8,238.22,5.35,6.15,0.8,,,2.043347
20040924,,,45.33,45.33,,,,,31.35,31.35,329.6935,14.28,238.94,5.35,6.16,0.81,,,2.05845
20040927,,,45.93,45.93,,,,,31.29,31.29,332.1768,14.62,237.37,5.32,6.14,0.82,,,2.05567
20040928,,,46.45,46.45,,,,,31.54,31.54,335.224,13.83,238.51,5.35,6.16,0.81,,,2.053061
20040929,,,46.08,46.08,,,,,31.63,31.63,337.2928,13.21,239.34,5.41,6.22,0.81,,,2.061801
20040930,,,46.38,46.38,,,,,32.43,32.43,337.7328,13.34,237.74,5.47,6.25,0.78,,,2.031314
20041001,,,46.62,46.62,,,,,31.9,31.9,339.3015,12.75,241.85,5.53,6.3,0.77,,,2.060936
20041004,,,46.19,46.19,,,,,31.57,31.57,337.2008,13.41,244.18,5.52,6.29,0.77,,,2.059474
20041005,,,47.13,47.13,,,,,31.25,31.25,344.3634,13.95,244.39,5.52,6.28,0.76,,,2.058885
20041006,,,47.99,47.99,,,,,31.25,31.25,347.8611,13.28,244.19,5.57,6.32,0.75,,,2.061839
20041007,,,48.9,48.9,,,,,31.53,31.53,352.2945,14.5,244.15,5.6,6.35,0.75,,,2.062147
20041008,,,49.71,49.71,,,,,31.05,31.05,356.3715,15.05,243.07,5.5,6.25,0.75,,,2.044806
20041011,,,50.66,50.66,,,,,30.58,30.58,358.4535,14.71,242.93,5.5,6.25,0.75,,,2.05499
20041012,,,49.6,49.6,,,,,30.38,30.38,353.2741,15.05,241.05,5.48,6.23,0.75,,,2.048719
20041013,,,50.05,50.05,,,,,30.42,30.42,356.6971,15.42,241.6,5.47,6.21,0.74,,,2.058014
20041014,,,50.84,50.84,,,,,30.5,30.5,360.9113,16.43,239.97,5.43,6.16,0.73,,,2.053923
20041015,,,49.93,49.93,,,,,29.96,29.96,361.1322,15.04,239.49,5.47,6.19,0.72,,,2.058406
20041018,,,48.91,48.91,,,,,30.54,30.54,355.3475,14.71,238.77,5.47,6.2,0.73,,,2.054268
20041019,,,48.77,48.77,,,,,30.4,30.4,356.8654,15.13,241.05,5.44,6.17,0.73,,,2.059367
20041020,,,50.52,50.52,,,,,30.05,30.05,365.4063,14.85,238.65,5.43,6.14,0.71,,,2.062483
20041021,,,50.72,50.72,,,,,29.59,29.59,367.1421,14.54,240.06,5.42,6.13,0.71,,,2.065074
20041022,,,51.22,51.22,,,,,29.44,29.44,371.0643,15.28,239.87,5.39,6.12,0.73,,,2.069744
20041025,,,50.78,50.78,,,,,29.89,29.89,367.4348,16.58,235.95,5.39,6.12,0.73,,,2.065966
20041026,,,51.56,51.56,,,,,29.89,29.89,373.201,16.39,236.65,5.39,6.12,0.73,,,2.071719
20041027,,,49.45,49.45,,,,,29.77,29.77,359.4567,15.72,239.48,5.47,6.19,0.72,,,2.07882
20041028,,,48.37,48.37,,,,,29.77,29.77,352.465,15.39,240.94,5.46,6.19,0.73,,,2.080704
20041029,,,48.98,48.98,,,,,29.72,29.72,355.2492,16.27,240.3,5.41,6.14,0.73,,,2.072875
20041101,,,47.06,47.06,,,,,32.42,32.42,346.9508,16.27,242.29,5.5,6.2,0.7,,,2.078214
20041102,,,46.55,46.55,,,,,31.28,31.28,344.0495,16.18,244.5,5.5,6.19,0.69,,,2.08319
20041103,,,47.56,47.56,,,,,30.9,30.9,350.247,14.04,245.29,5.48,6.17,0.69,,,2.040958
20041104,,,46.01,46.01,,,,,30.47,30.47,340.0946,13.97,244.56,5.46,6.15,0.69,,,2.028328
20041105,,,46.42,46.42,,,,,30.13,30.13,342.1066,13.84,245.9,5.56,6.23,0.67,,,2.011803
20041108,,,45.92,45.92,,,,,30.34,30.34,339.8198,13.8,245.6,5.59,6.25,0.66,,,1.990769
20041109,,,43.71,43.71,,,,,30.35,30.35,333.645,13.61,245.52,5.62,6.25,0.63,,,2.120021
20041110,,,44.75,44.75,,,,,29.8,29.8,342.4363,13.08,246.05,5.62,6.29,0.67,,,2.118679
20041111,,,43.02,43.02,,,,,29.69,29.69,336.2359,13.04,248.32,5.62,6.29,0.67,,,2.128266
20041112,,,42.31,42.31,,,,,29.61,29.61,335.4964,13.33,249.2,5.53,6.22,0.69,,,2.118056
20041115,,,40.34,40.34,,,,,29.79,29.79,334.5106,13.38,248.89,5.52,6.21,0.69,,,2.125195
20041116,,,42.29,42.29,,,,,29.51,29.51,330.5201,13.21,247.24,5.52,6.21,0.69,,,2.120249
20041117,,,42.76,42.76,,,,,29.39,29.39,337.5651,13.21,249.45,5.46,6.15,0.69,,,2.120818
20041118,,,42.72,42.72,,,,,29.31,29.31,334.0804,12.98,249.5,5.43,6.13,0.7,,,2.123098
20041119,,,44.89,44.89,,,,,29.29,29.29,344.3201,13.5,247.61,5.48,6.19,0.71,,,2.124291
20041122,,,44.38,44.38,,,,,29.3,29.3,340.7202,12.97,246.32,5.44,6.14,0.7,,,2.122902
20041123,,,44.45,44.45,,,,,29.34,29.34,343.0089,12.67,246.71,5.45,6.15,0.7,,,2.128512
20041124,,,44.82,44.82,,,,,29.54,29.54,350.071,12.72,246.4,5.45,6.15,0.7,,,2.125403
20041125,,,44.66,44.66,,,,,29.65,29.65,350.071,12.72,248.17,5.45,6.15,0.7,,,2.110507
20041126,,,44.57,44.57,,,,,29.42,29.42,349.406,12.78,247.78,5.5,6.2,0.7,,,2.106633
20041129,,,45.75,45.75,,,,,29.61,29.61,347.13,13.3,247.53,5.58,6.27,0.69,,,2.114918
20041130,,,45.51,45.51,,,,,31.72,31.72,342.5017,13.24,246.51,5.62,6.31,0.69,,,2.105419
20041201,,,42.31,42.31,,,,,31.47,31.47,326.5933,12.97,249.29,5.63,6.33,0.7,,,2.096807
20041202,,,40.15,40.15,,,,,31.3,31.3,311.7651,12.98,250.32,5.65,6.34,0.69,,,2.111684
20041203,,,39.36,39.36,,,,,30.8,30.8,309.0435,12.96,249.74,5.54,6.23,0.69,,,2.109739
20041206,,,39.65,39.65,,,,,31.01,31.01,311.3613,13.19,248.54,5.51,6.2,0.69,,,2.093431
20041207,,,38.27,38.27,,,,,30.85,30.85,303.2428,13.67,249.44,5.5,6.19,0.69,,,2.09412
20041208,,,38.69,38.69,,,,,30.93,30.93,305.7915,13.19,248.97,5.37,6.08,0.71,,,2.096333
20041209,,,39.67,39.67,,,,,30.98,30.98,310.7389,12.88,247.19,5.42,6.13,0.71,,,2.090347
20041210,,,37.38,37.38,,,,,31.18,31.18,303.4591,12.76,248.18,5.41,6.11,0.7,,,2.102438
20041213,,,37.84,37.84,,,,,31.43,31.43,309.3365,12.54,250.04,5.42,6.1,0.68,,,2.091911
20041214,,,39.25,39.25,,,,,31.38,31.38,312.7788,12.73,250.31,5.39,6.08,0.69,,,2.098629
20041215,,,42.22,42.22,,,,,31.2,31.2,323.4529,12.35,250.18,5.3,6,0.7,,,2.097209
20041216,,,41.43,41.43,,,,,31.28,31.28,320.4375,12.27,251.09,5.41,6.11,0.7,,,2.09255
20041217,,,43.39,43.39,,,,,31.7,31.7,332.5043,11.95,249.13,5.46,6.13,0.67,,,2.094313
20041220,,,42.45,42.45,,,,,31.35,31.35,326.474,11.83,250.29,5.44,6.11,0.67,,,2.099958
20041221,,,42.37,42.37,,,,,30.5,30.5,326.2365,11.55,249.77,5.42,6.09,0.67,,,2.145671
20041222,,,40.64,40.64,,,,,30.15,30.15,319.3767,11.45,250.91,5.45,6.12,0.67,,,2.095498
20041223,,,40.71,40.71,,,,,30,30,318.206,11.23,250.98,5.47,6.14,0.67,,,2.083845
20041224,,,40.07,40.07,,,,,30,30,318.206,11.23,251.26,5.47,6.14,0.67,,,2.075433
20041227,,,40.07,40.07,,,,,30.24,30.24,305.137,12.14,250.84,5.54,6.2,0.66,,,2.085267
20041228,,,40.07,40.07,,,,,29.85,29.85,306.7903,12,251.09,5.53,6.21,0.68,,,2.138951
20041229,,,39.17,39.17,,,,,29.62,29.62,310.7184,11.62,251.03,5.55,6.22,0.67,,,2.090457
20041230,,,40.37,40.37,,,,,29.74,29.74,310.6612,12.56,251.02,5.49,6.16,0.67,,,2.081448
20041231,,,40.46,40.46,,,,,29.74,29.74,310.4673,13.29,251.11,5.43,6.1,0.67,,,2.062602
20050103,,,40.46,40.46,,,,,30.65,30.65,304.1925,14.08,252.55,5.43,6.09,0.66,,,2.109629
20050104,,,41.04,41.04,,,,,31.28,31.28,308.8011,13.98,253.55,5.49,6.14,0.65,,,2.055906
20050105,,,40.51,40.51,,,,,31.23,31.23,306.2471,14.09,251.85,5.47,6.12,0.65,,,2.064858
20050106,,,42.85,42.85,,,,,31.31,31.31,317.1966,13.58,253.09,5.48,6.13,0.65,,,2.060515
20050107,,,43.18,43.18,,,,,31.15,31.15,316.8364,13.49,254.72,5.47,6.12,0.65,,,2.048016
20050110,,,42.92,42.92,,,,,30.78,30.78,317.8814,13.23,254.62,5.45,6.11,0.66,,,2.034898
20050111,,,43.12,43.12,,,,,30.76,30.76,319.0152,13.19,252.73,5.42,6.07,0.65,,,2.062037
20050112,,,43.68,43.68,,,,,30.61,30.61,320.3361,12.56,250.79,5.4,6.06,0.66,,,2.062085
20050113,,,45.21,45.21,,,,,30.16,30.16,330.3758,12.84,251.73,5.35,6,0.65,,,2.052742
20050114,,,45.15,45.15,,,,,30.31,30.31,330.4464,12.43,252.99,5.36,6.02,0.66,,,2.056923
20050117,,,45.03,45.03,,,,,30.04,30.04,330.4464,12.43,254.03,5.36,6.02,0.66,,,2.051974
20050118,,,45.39,45.39,,,,,30.22,30.22,329.2719,12.47,254.28,5.32,5.98,0.66,,,2.055868
20050119,,,44.71,44.71,,,,,30.5,30.5,328.2237,13.18,254.73,5.3,5.96,0.66,,,2.057891
20050120,,,44.32,44.32,,,,,30.31,30.31,326.1654,13.83,253.69,5.29,5.97,0.68,,,2.058574
20050121,,,45.73,45.73,,,,,30.9,30.9,331.9326,14.36,253.42,5.29,5.95,0.66,,,2.060204
20050124,,,46.01,46.01,,,,,30.55,30.55,334.3407,14.65,253.28,5.25,5.91,0.66,,,2.052405
20050125,,,46.96,46.96,,,,,30.68,30.68,338.1748,14.06,254.94,5.32,5.98,0.66,,,2.050607
20050126,,,46.51,46.51,,,,,31,31,336.1129,13.44,255.03,5.3,5.97,0.67,,,2.048846
20050127,,,46.44,46.44,,,,,30.72,30.72,334.7884,13.24,256.12,5.3,5.97,0.67,,,2.048596
20050128,,,44.95,44.95,,,,,30.82,30.82,326.9911,13.24,255.14,5.24,5.91,0.67,,,2.05043
20050131,,,45.92,45.92,,,,,33.76,33.76,331.4828,12.82,256.85,5.22,5.89,0.67,,,2.053021
20050201,,,44.82,44.82,,,,,33.61,33.61,326.8229,12.03,258.86,5.22,5.89,0.67,,,2.037724
20050202,,,44.01,44.01,,,,,34.5,34.5,323.8281,11.66,259.67,5.21,5.88,0.67,,,2.051172
20050203,,,43.85,43.85,,,,,34.53,34.53,320.9044,11.79,259.54,5.21,5.88,0.67,,,2.064542
20050204,,,43.89,43.89,,,,,34.33,34.33,320.3523,11.21,261.92,5.14,5.78,0.64,,,2.055051
20050207,,,43.04,43.04,,,,,34.3,34.3,315.6633,11.73,263.32,5.09,5.72,0.63,,,2.052471
20050208,,,43.07,43.07,,,,,34.17,34.17,318.1024,11.6,263.81,5.05,5.68,0.63,,,2.055852
20050209,,,43.13,43.13,,,,,34.08,34.08,319.9891,12,263.39,5.03,5.64,0.61,,,2.052393
20050210,,,44.48,44.48,,,,,34.08,34.08,328.8077,11.51,263.13,5.13,5.74,0.61,,,2.049115
20050211,,,44.8,44.8,,,,,34.21,34.21,329.3179,11.43,265.52,5.16,5.75,0.59,,,2.051779
20050214,,,45.53,45.53,,,,,34.87,34.87,330.3426,11.52,265.91,5.11,5.71,0.6,,,2.054705
20050215,,,45.39,45.39,,,,,35.35,35.35,330.5318,11.27,266.97,5.14,5.74,0.6,,,2.048256
20050216,,,46.15,46.15,,,,,35.92,35.92,334.1177,11.1,265.35,5.19,5.78,0.59,,,2.042919
20050217,,,45.82,45.82,,,,,35.98,35.98,331.4112,11.77,265.64,5.23,5.83,0.6,,,2.042729
20050218,,,46.34,46.34,,,,,37.84,37.84,334.6038,11.18,266.01,5.32,5.89,0.57,,,2.033626
20050221,,,46.73,46.73,,,,,37.9,37.9,334.6038,11.18,265.66,5.32,5.89,0.57,,,2.038853
20050222,,,48.62,48.62,,,,,38.19,38.19,348.6693,13.14,263.75,5.33,5.93,0.6,,,2.045126
20050223,,,48.51,48.51,,,,,39.63,39.63,350.0359,12.39,262.3,5.3,5.91,0.61,,,2.048626
20050224,,,49.44,49.44,,,,,40.14,40.14,350.6005,11.57,262.14,5.3,5.91,0.61,,,2.052984
20050225,,,49.61,49.61,,,,,39.58,39.58,352.9121,11.49,265.14,5.28,5.89,0.61,,,2.054982
20050228,,,50.06,50.06,,,,,36.2,36.2,355.8531,12.08,264.29,5.35,5.95,0.6,,,2.051296
20050301,,,50.11,50.11,,,,,38.66,38.66,355.0824,12.04,266.25,5.35,5.96,0.61,,,2.05036
20050302,,,51.22,51.22,,,,,41.75,41.75,362.0893,12.5,266.16,5.37,5.98,0.61,,,2.051515
20050303,,,51.95,51.95,,,,,63.64,63.64,364.7761,12.93,266.15,5.37,5.98,0.61,,,2.045851
20050304,,,51.8,51.8,,,,,53,53,365.0636,11.94,267.91,5.26,5.89,0.63,,,2.046272
20050307,,,52.09,52.09,,,,,46.8,46.8,365.337,12.26,267.68,5.23,5.86,0.63,,,2.042469
20050308,,,52.84,52.84,,,,,47.6,47.6,371.5763,12.4,266.21,5.3,5.92,0.62,,,2.043912
20050309,,,53.38,53.38,,,,,47,47,373.67,12.7,264.59,5.43,6.05,0.62,,,2.049226
20050310,,,52.66,52.66,,,,,45.4,45.4,368.8168,12.49,262.45,5.37,5.99,0.62,,,2.049641
20050311,,,53.1,53.1,,,,,45.21,45.21,373.9973,12.8,263.05,5.42,6.04,0.62,,,2.049092
20050314,,,53.66,53.66,,,,,44.25,44.25,376.0674,12.39,262.66,5.39,6.02,0.63,,,2.046536
20050315,,,53.85,53.85,,,,,44.5,44.5,378.5847,13.15,264.79,5.42,6.05,0.63,,,2.049379
20050316,,,54.8,54.8,,,,,44.03,44.03,384.9846,13.49,261.12,5.4,6.05,0.65,,,2.049252
20050317,,,55.06,55.06,,,,,44.2,44.2,384.8151,13.29,261.12,5.37,6.04,0.67,,,2.058007
20050318,,,55.59,55.59,,,,,44.04,44.04,385.2551,13.14,261.69,5.42,6.1,0.68,,,2.054839
20050321,,,55.65,55.65,,,,,44.11,44.11,385.1418,13.61,261.06,5.44,6.13,0.69,,,2.05826
20050322,,,54.59,54.59,,,,,44.41,44.41,380.4248,14.27,261.55,5.5,6.19,0.69,,,2.062094
20050323,,,53.04,53.04,,,,,44.44,44.44,371.6716,14.06,260.66,5.49,6.18,0.69,,,2.069214
20050324,,,53.93,53.93,,,,,45.1,45.1,374.8978,13.42,262.17,5.47,6.18,0.71,,,2.073449
20050325,,,53.93,53.93,,,,,45.1,45.1,374.8978,13.42,262.17,5.47,6.18,0.71,,,
20050328,,,53.93,53.93,,,,,45.1,45.1,372.29,13.75,262.17,5.52,6.22,0.7,,,
20050329,,,53.03,53.03,,,,,44.87,44.87,373.425,14.49,262.89,5.48,6.2,0.72,,,2.069467
20050330,,,52.09,52.09,,,,,45.19,45.19,374.2621,13.64,262.09,5.44,6.17,0.73,,,2.071523
20050331,,,54.29,54.29,,,,,45.19,45.19,383.6221,14.02,262.19,5.4,6.14,0.74,,,2.049133
20050401,,,56.51,56.51,,,,,34.78,34.78,391.5963,14.09,263.43,5.36,6.11,0.75,,,2.043868
20050404,,,56.23,56.23,,,,,35.68,35.68,389.4414,14.11,262.26,5.38,6.12,0.74,,,2.062871
20050405,,,55.44,55.44,,,,,36.25,36.25,384.873,13.68,264.47,5.42,6.14,0.72,,,2.063123
20050406,,,55.27,55.27,,,,,38,38,382.9102,13.15,265.52,5.41,6.11,0.7,,,2.059673
20050407,,,54.04,54.04,,,,,42.02,42.02,374.905,12.33,266.31,5.48,6.14,0.66,,,2.047422
