Date,Oil,Coal,Gas,Elec,GSCI,VIX,STOXX,AAA,BAA,Diff_BAA_AAA,ECB_Spot_3M,eua07,eua07_vol,eua08,eua08_vol,eua09,eua09_vol,eua10,eua10_vol,eua11,eua11_vol,eua12,eua12_vol,eua13,eua13_vol,eua14,eua14_vol,eua15,eua15_vol,eua16,eua16_vol,eua17,eua17_vol,eua18,eua18_vol,eua19,eua19_vol,eua20,eua20_vol,eua21,eua21_vol,eua22,eua22_vol
20070712,76.4,77,15.006,33,504.7109,15.54,397.34,5.84,6.72,0.88,3.919957,0.13,500,19.79,4795,20.13,1766,20.5,248,20.88,57,21.28,800,,,,,,,,,,,,,,,,,,,,
20070713,77.57,77.5,15.545,32,509.594,15.15,399.02,5.82,6.7,0.88,3.93802,0.13,25,19.89,3842,20.21,297,20.63,493,21.02,94,21.4,104,,,,,,,,,,,,,,,,,,,,
20070716,77.33,77.6,16.55,32.5,504.152,15.59,399.71,5.75,6.63,0.88,3.936791,0.13,44,18.88,4006,19.23,560,19.6,125,19.97,25,20.33,95,,,,,,,,,,,,,,,,,,,,
20070717,75.53,77.7,16.273,32,501.374,15.63,397.79,5.79,6.67,0.88,3.936478,0.14,165,19.25,4528,19.58,396,19.93,85,20.28,25,20.63,45,,,,,,,,,,,,,,,,,,,,
20070718,76.76,78,15.234,31.25,509.858,16,393.14,5.72,6.6,0.88,3.927167,0.13,275,18.91,4252,19.28,566,19.65,310,20.05,120,20.46,10,,,,,,,,,,,,,,,,,,,,
20070719,77.67,77.8,15.233,31.08,514.709,15.23,396.94,5.74,6.63,0.89,3.952351,0.12,100,19.35,4321,19.72,1272,20.1,860,20.5,290,20.85,160,,,,,,,,,,,,,,,,,,,,
20070720,77.64,78.6,15.66,31.08,513.126,16.95,392.59,5.69,6.57,0.88,3.965219,0.13,77,19.58,3026,19.96,835,20.34,160,20.73,100,21.13,100,,,,,,,,,,,,,,,,,,,,
20070723,76.86,78.6,16.201,30.7,505.526,16.81,394.99,5.69,6.58,0.89,3.969133,0.12,222,19.25,4017,19.62,1387,20,420,20.34,295,20.72,660,,,,,,,,,,,,,,,,,,,,
20070724,75.08,78.6,15.773,30.4,499.692,18.55,388.94,5.69,6.59,0.9,3.98831,0.12,106,19.3,3840,19.69,455,20.09,257,20.46,200,20.84,242,,,,,,,,,,,,,,,,,,,,
20070725,76.32,78.6,15.11,30.5,505.809,18.1,385.5,5.66,6.57,0.91,3.996873,0.12,100,19.98,4656,20.38,1100,20.75,50,21.13,10,21.5,960,,,,,,,,,,,,,,,,,,,,
20070726,75.18,78.25,15.256,30,502.496,20.74,374.56,5.57,6.62,1.05,3.991654,0.12,120,20.07,5446,20.48,544,20.84,105,21.26,82,21.59,20,,,,,,,,,,,,,,,,,,,,
20070727,76.26,78.25,15.475,29.6,509.651,24.17,372.69,5.58,6.67,1.09,3.969458,0.12,160,20.3,3469,20.68,808,21,170,21.42,100,21.79,325,,,,,,,,,,,,,,,,,,,,
20070730,75.74,80.2,16.334,29.31,509.988,20.87,372.03,5.65,6.7,1.05,3.976844,0.11,70,20.85,3443,21.24,570,21.63,5,22.02,100,22.41,325,,,,,,,,,,,,,,,,,,,,
20070731,77.05,81.4,15.495,30.9,515.941,23.52,380.07,5.62,6.63,1.01,3.984455,0.12,5,21.15,5128,21.54,979,21.92,260,22.3,410,22.68,985,,,,,,,,,,,,,,,,,,,,
20070801,75.35,82.25,14.88,29,508.944,23.67,374.16,5.61,6.62,1.01,3.979556,0.11,57,20.46,5861,20.9,200,21.26,25,21.65,45,22.07,1520,,,,,,,,,,,,,,,,,,,,
20070802,75.76,82.8,14.878,29.6,508.865,21.22,376.93,5.6,6.6,1,3.979403,0.09,210,20.7,2265,21.11,1503,21.48,141,21.88,85,22.3,1050,,,,,,,,,,,,,,,,,,,,
20070803,74.75,84.4,14.246,29.65,503.224,25.16,372.03,5.67,6.57,0.9,4.001526,0.09,210,20.39,2080,20.81,455,21.21,117,21.59,150,22.02,25,,,,,,,,,,,,,,,,,,,,
20070806,71.17,85.25,13.63,29.6,489.129,22.94,368.64,5.71,6.61,0.9,3.983375,0.09,15,19.6,4301,20.02,393,20.42,145,20.82,150,21.23,155,,,,,,,,,,,,,,,,,,,,
20070807,71.8,84.5,13.28,29.3,491.33,21.56,373.62,5.7,6.6,0.9,3.994163,0.09,500,20.05,3946,20.44,719,20.84,50,21.24,150,21.64,540,,,,,,,,,,,,,,,,,,,,
20070808,70.99,85.15,13.463,29.9,490.834,21.45,381.05,5.83,6.71,0.88,4.01336,0.1,205,19.91,3589,20.32,70,20.74,290,21.14,95,21.55,85,,,,,,,,,,,,,,,,,,,,
20070809,70.21,85.5,14.056,29.8,489.493,26.48,374.27,5.83,6.7,0.87,4.01725,0.1,50,19.65,2732,20.08,340,20.48,65,20.89,30,21.3,60,,,,,,,,,,,,,,,,,,,,
20070810,70.39,86.2,14.034,30.5,489.818,28.3,362.77,5.82,6.69,0.87,3.987397,0.1,620,19.06,2709,19.49,255,19.87,64,20.27,30,20.68,60,,,,,,,,,,,,,,,,,,,,
20070813,70.23,86.3,14.154,30,491.466,26.57,370.91,5.82,6.69,0.87,3.99995,0.1,100,19.6,1890,20,155,20.37,64,20.78,30,21.2,15,,,,,,,,,,,,,,,,,,,,
20070814,70.51,86,14.715,30.06,493.101,27.68,366.34,5.8,6.68,0.88,3.99763,0.11,25,19.4,1824,19.86,370,20.29,140,20.69,100,21.15,10,,,,,,,,,,,,,,,,,,,,
20070815,71.64,86.25,14.938,29.65,496.961,30.67,365.36,5.89,6.72,0.83,3.992546,0.11,420,19.65,2674,20.13,275,20.58,170,21.01,35,21.5,435,,,,,,,,,,,,,,,,,,,,
20070816,69.42,86.5,15.049,29.75,481.953,30.83,352.37,5.84,6.66,0.82,3.991854,0.11,15,19.29,3457,19.77,100,20.24,100,20.73,35,21.24,360,,,,,,,,,,,,,,,,,,,,
20070817,70.44,85.5,15.064,30.05,489.071,29.99,359.98,5.91,6.75,0.84,3.936942,0.11,15,19.4,2172,19.9,67,20.37,135,20.85,35,21.36,190,,,,,,,,,,,,,,,,,,,,
20070820,69.85,85.5,14.237,29.5,480.809,26.33,362.33,5.88,6.72,0.84,3.932641,0.11,384,19.2,1068,19.77,70,20.24,40,20.74,15,21.25,35,,,,,,,,,,,,,,,,,,,,
20070821,68.69,84.5,13.98,29.3,475.287,25.25,362.39,5.85,6.69,0.84,3.891035,0.11,567,19.18,2487,19.81,1064,20.42,535,21.01,35,21.6,35,,,,,,,,,,,,,,,,,,,,
20070822,68.7,86,13.961,29.2,475.456,22.89,368.62,5.87,6.7,0.83,3.910445,0.11,84,18.63,4215,19.3,1184,19.94,195,20.59,125,21.23,165,,,,,,,,,,,,,,,,,,,,
20070823,69.86,86,14.065,29.69,479.972,22.62,369.33,5.83,6.66,0.83,3.97779,0.11,84,18.81,3072,19.49,247,20.17,410,20.9,85,21.62,275,,,,,,,,,,,,,,,,,,,,
20070824,70.62,86,14.109,29,485.235,20.72,370.52,5.81,6.64,0.83,3.924146,0.11,209,18.63,1797,19.3,186,19.99,90,20.71,70,21.44,120,,,,,,,,,,,,,,,,,,,,
20070827,70.95,86.6,14.113,29.2,486.476,22.72,371.09,5.76,6.6,0.84,3.928996,0.11,209,18.4,623,19.05,41,19.75,5,20.45,5,21.2,65,,,,,,,,,,,,,,,,,,,,
20070828,70.55,87.9,14.386,29.25,485.596,26.3,364.66,5.76,6.6,0.84,3.916861,0.11,418,19.38,4293,20,425,20.66,470,21.32,100,21.97,380,,,,,,,,,,,,,,,,,,,,
20070829,72.13,87.3,14.316,29.3,492.353,23.81,366.81,5.8,6.62,0.82,3.890108,0.1,115,19.93,4655,20.53,816,21.02,380,21.67,235,22.39,115,,,,,,,,,,,,,,,,,,,,
20070830,71.9,88.1,14.074,29.31,493.016,25.06,370.99,5.76,6.58,0.82,3.897012,0.11,195,19.4,5140,19.99,367,20.59,545,21.16,125,21.75,125,,,,,,,,,,,,,,,,,,,,
20070831,72.69,89,14.309,32.5,495.304,23.38,375.94,5.76,6.59,0.83,3.8815,0.1,26,19.4,2324,19.98,161,20.59,115,21.19,85,21.78,110,,,,,,,,,,,,,,,,,,,,
20070903,73.41,89.6,14.413,32.23,495.304,23.38,376.99,5.76,6.59,0.83,3.891671,0.1,59,19.77,1999,20.37,45,20.97,190,21.57,85,22.17,80,,,,,,,,,,,,,,,,,,,,
20070904,73.92,90.85,14.68,31.5,501.27,22.78,379.47,5.77,6.6,0.83,3.903939,0.1,114,20.91,3404,21.5,182,22.09,60,22.68,130,23.27,165,,,,,,,,,,,,,,,,,,,,
20070905,74.34,91,14.73,31.6,503.844,24.58,372.66,5.73,6.54,0.81,3.938046,0.1,114,20.25,4724,20.85,305,21.45,325,22.05,570,22.65,35,,,,,,,,,,,,,,,,,,,,
20070906,74.77,92,14.633,31.7,506.197,23.99,373.84,5.74,6.57,0.83,3.92671,0.1,100,20.53,4683,21.13,110,21.73,140,22.33,40,22.93,245,,,,,,,,,,,,,,,,,,,,
20070907,75.07,92.5,14.929,31.8,507.454,26.23,365.58,5.66,6.48,0.82,3.926769,0.1,41,20.47,2082,21.07,140,21.67,105,22.27,40,22.87,20,,,,,,,,,,,,,,,,,,,,
20070910,75.48,91.75,16.59,31.6,513.169,27.38,362.23,5.61,6.47,0.86,3.920117,0.09,41,20.31,2364,20.91,100,21.51,60,22.11,50,22.71,65,,,,,,,,,,,,,,,,,,,,
20070911,76.38,91.5,16.371,32,519.199,25.27,368.41,5.62,6.48,0.86,3.922693,0.08,53,20.76,3247,21.37,80,21.97,129,22.57,10,23.17,197,,,,,,,,,,,,,,,,,,,,
20070912,77.68,91.5,17.223,32.5,527.756,24.96,369.23,5.66,6.54,0.88,3.912748,0.09,3,21.1,3482,21.7,125,22.3,95,22.9,87,23.5,25,,,,,,,,,,,,,,,,,,,,
20070913,77.4,91.5,16.7,32.75,527.033,24.76,372.21,5.71,6.61,0.9,3.901078,0.07,150,20.53,3435,21.14,140,21.73,115,22.35,60,22.92,35,,,,,,,,,,,,,,,,,,,,
20070914,76.22,91.35,17.073,32.95,526.266,24.92,367.75,5.69,6.59,0.9,3.88498,0.07,264,20.7,3082,21.29,45,21.87,215,22.46,25,23.05,335,,,,,,,,,,,,,,,,,,,,
20070917,76.98,92.5,16.394,33.1,533.121,26.48,362.18,5.68,6.58,0.9,3.887496,0.07,55,20.54,2803,21.1,135,21.67,35,22.23,15,22.8,400,,,,,,,,,,,,,,,,,,,,
20070918,77.59,92.75,16.347,33.5,536.265,20.35,367.67,5.73,6.61,0.88,3.89391,0.06,176,20.8,2614,21.3,214,21.8,30,22.35,15,22.9,20,,,,,,,,,,,,,,,,,,,,
20070919,78.47,92.75,16.686,33.35,539.248,20.03,377.53,5.77,6.64,0.87,3.866566,0.08,91,21.28,4243,21.76,362,22.26,135,22.75,100,23.3,185,,,,,,,,,,,,,,,,,,,,
20070920,79.09,94,17.021,33.43,543.608,20.45,374.95,5.88,6.73,0.85,3.847618,0.08,660,21.77,3788,22.22,40,22.67,105,23.12,50,23.57,20,,,,,,,,,,,,,,,,,,,,
20070921,79.3,96,18.409,33.48,544.566,19,376.74,5.81,6.67,0.86,3.857593,0.08,870,21.75,3909,22.2,600,22.75,450,23.25,100,23.75,280,,,,,,,,,,,,,,,,,,,,
20070924,78.91,94.75,18.9,33.8,544.037,19.37,376.55,5.8,6.65,0.85,3.864299,0.08,100,21.75,2851,22.24,20,22.73,115,23.22,15,23.71,280,,,,,,,,,,,,,,,,,,,,
20070925,77.62,94.75,18.006,34.6,537.448,18.6,372.4,5.81,6.65,0.84,3.879322,0.08,3,21.39,5333,21.86,90,22.34,160,22.83,85,23.32,1311,,,,,,,,,,,,,,,,,,,,
20070926,77.43,94.75,17.156,34.75,539.639,17.63,375.03,5.82,6.66,0.84,3.863672,0.08,400,21.3,4146,21.77,130,22.23,316,22.7,50,23.17,750,,,,,,,,,,,,,,,,,,,,
20070927,80.03,95.5,16.853,34.94,551.491,17,377.96,5.76,6.59,0.83,3.844136,0.08,325,21.6,3952,22.06,483,22.54,910,23,1330,23.47,1316,,,,,,,,,,,,,,,,,,,,
20070928,79.17,95.6,20.483,39.88,546.133,18,377.86,5.76,6.59,0.83,3.828812,0.08,33,21.68,2611,22.13,135,22.58,50,23.04,175,23.63,715,,,,,,,,,,,,,,,,,,,,
20071001,77.64,102.7,21.182,41.5,540.728,17.84,380.86,5.72,6.55,0.83,3.818167,0.07,25,21.6,3790,22.1,440,22.58,25,23.06,180,23.6,1545,,,,,,,,,,,,,,,,,,,,
20071002,77.38,102.2,21.769,44.5,537.935,18.49,382.78,5.71,6.54,0.83,3.830471,0.08,25,21.7,6444,22.2,653,22.72,375,23.2,645,23.85,3166,,,,,,,,,,,,,,,,,,,,
20071003,77.19,101.5,20.737,44.5,537.893,18.8,383.59,5.72,6.54,0.82,3.804319,0.07,3,21.38,3479,21.91,225,22.46,339,22.98,1335,23.6,985,,,,,,,,,,,,,,,,,,,,
20071004,78.97,102,20.595,45.95,543.508,18.44,384.18,5.67,6.51,0.84,3.8083,0.07,26,21.56,3336,22.14,335,22.71,170,23.25,375,24.01,975,,,,,,,,,,,,,,,,,,,,
20071005,78.9,103.5,20.867,46.15,541.592,16.91,386.93,5.78,6.59,0.81,3.821624,0.11,30,21.52,2080,22.11,500,22.7,270,23.3,235,24.07,405,,,,,,,,,,,,,,,,,,,,
20071008,76.58,105.75,20.753,47.46,528.607,17.46,385.86,5.78,6.59,0.81,3.816278,0.07,30,21.67,1466,22.21,145,22.78,205,23.34,100,23.97,130,,,,,,,,,,,,,,,,,,,,
20071009,77.49,106.2,21.13,45.75,534.527,16.12,387.84,5.78,6.57,0.79,3.815911,0.07,50,21.65,2251,22.23,705,22.83,575,23.45,560,24.1,495,,,,,,,,,,,,,,,,,,,,
20071010,78.6,108.2,21.453,45.85,541.321,16.67,388.23,5.77,6.56,0.79,3.812031,0.07,295,22.18,4091,22.77,105,23.39,10,24.02,95,24.67,80,,,,,,,,,,,,,,,,,,,,
20071011,80.15,108,21.897,45.6,549.802,18.88,390.43,5.79,6.56,0.77,3.795595,0.07,295,22.36,2867,22.92,240,23.53,625,24.16,65,24.8,80,,,,,,,,,,,,,,,,,,,,
20071012,80.55,107.75,21.733,45.75,550.7,17.73,390.63,5.77,6.57,0.8,3.833153,0.07,86,22.35,2425,22.93,235,23.54,445,24.17,150,24.82,145,,,,,,,,,,,,,,,,,,,,
20071015,82.75,108.5,21.505,46.7,561.712,19.25,386.95,5.78,6.57,0.79,3.836334,0.07,103,22.6,2299,23.18,176,23.7,565,24.32,390,24.95,285,,,,,,,,,,,,,,,,,,,,
20071016,84.16,110.5,22.118,46.75,566.122,20.02,384.03,5.78,6.58,0.8,3.838161,0.07,570,22.82,2751,23.38,410,23.95,290,24.52,80,25.13,296,,,,,,,,,,,,,,,,,,,,
20071017,83.13,110.25,23.872,48.6,564.45,18.54,386.62,5.67,6.48,0.81,3.854539,0.07,570,23,2445,23.52,421,24.1,200,24.68,70,25.46,304,,,,,,,,,,,,,,,,,,,,
20071018,84.6,111,23.77,52,572.326,18.5,383.36,5.64,6.46,0.82,3.870345,0.07,485,22.83,2930,23.4,445,23.97,41,24.55,254,25.2,249,,,,,,,,,,,,,,,,,,,,
20071019,83.79,112,23.676,52.85,567.854,22.96,380.88,5.55,6.38,0.83,3.856527,0.07,580,22.62,2255,23.16,463,23.72,155,24.29,254,24.92,168,,,,,,,,,,,,,,,,,,,,
20071022,83.27,110,23.967,52.81,562.578,21.64,375.82,5.56,6.38,0.82,3.856461,0.07,100,22.16,3322,22.71,396,23.27,185,23.84,254,24.43,6,,,,,,,,,,,,,,,,,,,,
20071023,82.85,110,24.223,53.04,558.636,20.41,379.78,5.57,6.39,0.82,3.856329,0.07,65,22.34,2373,22.89,291,23.45,187,24.01,20,24.61,20,,,,,,,,,,,,,,,,,,,,
20071024,84.37,110,24.057,55.46,564.314,20.8,377.45,5.51,6.34,0.83,3.863759,0.07,254,22.55,2444,23.09,70,23.66,235,24.23,60,24.83,76,,,,,,,,,,,,,,,,,,,,
20071025,87.48,115.75,24.857,54.84,579.094,21.17,381.83,5.53,6.36,0.83,3.86833,0.07,88,22.78,3580,23.32,460,23.97,205,24.52,155,25.17,466,,,,,,,,,,,,,,,,,,,,
20071026,88.69,115.15,25.413,55.43,585.666,19.56,383.95,5.55,6.39,0.84,3.866426,0.07,88,22.72,3276,23.31,276,23.88,515,24.44,295,25,435,,,,,,,,,,,,,,,,,,,,
20071029,90.32,132,24.05,56.88,594.74,19.87,386.6,5.53,6.37,0.84,3.876424,0.07,43,22.88,1798,23.48,300,24.02,150,24.6,295,25.2,200,,,,,,,,,,,,,,,,,,,,
20071030,87.44,126.25,22.425,56.88,581.759,21.07,384.9,5.54,6.39,0.85,3.882627,0.07,300,22.17,3587,22.76,218,23.29,173,23.87,187,24.46,97,,,,,,,,,,,,,,,,,,,,
20071031,90.63,126,26.338,72.17,599.31,18.53,388.43,5.62,6.47,0.85,3.87759,0.09,630,22.27,3518,22.81,35,23.39,25,23.99,187,24.59,75,,,,,,,,,,,,,,,,,,,,
20071101,89.72,127.5,25.463,71.5,594.456,23.21,382.57,5.53,6.37,0.84,3.887243,0.08,400,21.7,3232,22.26,579,22.83,360,23.41,30,23.98,130,,,,,,,,,,,,,,,,,,,,
20071102,92.08,128,25.525,69.5,604.7,23.01,379.92,5.5,6.35,0.85,3.888557,0.08,400,21.5,2160,22.05,25,22.66,360,23.2,10,23.76,180,,,,,,,,,,,,,,,,,,,,
20071105,90.49,128.5,24.342,59.8,595.782,24.31,377.32,5.49,6.37,0.88,3.882523,0.07,550,21.5,1667,22.05,100,22.61,125,23.17,75,23.74,55,,,,,,,,,,,,,,,,,,,,
20071106,93.26,127.9,23.392,57.65,608.476,21.39,378.64,5.53,6.41,0.88,3.876857,0.07,335,21.52,3154,22.02,325,22.57,450,23.14,25,23.7,55,,,,,,,,,,,,,,,,,,,,
20071107,93.24,128.75,23.578,57.18,606.211,26.49,375.58,5.57,6.44,0.87,3.876318,0.1,593,21.62,3433,22.17,345,22.72,400,23.27,150,23.83,335,,,,,,,,,,,,,,,,,,,,
20071108,92.79,127.5,23.596,56.75,603.942,26.16,373.48,5.55,6.44,0.89,3.869442,0.11,479,21.65,1952,22.18,75,22.73,145,23.28,25,23.84,96,,,,,,,,,,,,,,,,,,,,
20071109,93.18,127.4,24.504,55.33,607.235,28.5,367.57,5.52,6.41,0.89,3.877994,0.1,1170,21.85,2261,22.38,145,22.92,85,23.47,75,24.02,100,,,,,,,,,,,,,,,,,,,,
20071112,91.98,127.25,24.889,55.32,599.044,31.09,367.69,5.52,6.41,0.89,3.888438,0.1,90,21.91,2128,22.44,315,22.99,55,23.56,100,24.15,265,,,,,,,,,,,,,,,,,,,,
20071113,88.83,127.5,25.41,67.04,585.242,24.1,368.52,5.53,6.44,0.91,3.891293,0.1,300,22.3,2362,22.86,125,23.41,200,23.97,175,24.65,135,,,,,,,,,,,,,,,,,,,,
20071114,91.36,126.75,26.9,74.32,597.17,25.94,370.46,5.52,6.44,0.92,3.875093,0.09,250,22.97,3411,23.51,418,24.11,213,24.71,55,25.41,90,,,,,,,,,,,,,,,,,,,,
20071115,90.94,126.75,23.994,69.4,591.924,28.06,365.82,5.45,6.39,0.94,3.889155,0.09,5,22.6,2893,23.14,170,23.73,60,24.35,25,25.07,51,,,,,,,,,,,,,,,,,,,,
20071116,91.62,126.9,24.342,66.86,599.403,25.49,362.72,5.46,6.41,0.95,3.885401,0.08,265,22.54,2957,23.09,327,23.69,100,24.32,75,25.04,430,,,,,,,,,,,,,,,,,,,,
20071119,92.28,127.25,24.821,67.82,599.401,26.01,354.7,5.41,6.37,0.96,3.893787,0.08,486,22.85,2651,23.37,577,23.94,200,24.55,200,25.29,820,,,,,,,,,,,,,,,,,,,,
20071120,95.49,127.25,25.709,69.27,613.72,24.88,358.65,5.42,6.41,0.99,3.889082,0.07,90,23.74,3798,24.29,870,24.91,25,25.53,25,26.34,350,,,,,,,,,,,,,,,,,,,,
20071121,94.84,127.25,25.419,67.8,611.238,26.84,349.18,5.4,6.41,1.01,3.898425,0.07,211,23.72,5910,24.23,1235,24.83,350,25.45,400,26.16,595,,,,,,,,,,,,,,,,,,,,
20071122,94.5,127.25,24.18,66.75,611.238,26.84,351.86,5.4,6.41,1.01,3.899802,0.08,50,23.7,2491,24.21,144,24.81,160,25.41,25,26.18,25,,,,,,,,,,,,,,,,,,,,
20071123,95.76,127.25,22.985,66.52,617.74,25.61,357.74,5.37,6.38,1.01,3.889246,0.08,445,23.69,2291,24.21,395,24.81,25,25.41,75,26.2,115,,,,,,,,,,,,,,,,,,,,
20071126,95.32,126,22.343,65.28,615.684,28.91,355.78,5.21,6.23,1.02,3.877344,0.07,20,23.8,2334,24.31,227,24.91,75,25.54,75,26.35,241,,,,,,,,,,,,,,,,,,,,
20071127,92.52,126,22.347,64.75,601.853,26.28,354.27,5.28,6.36,1.08,3.88289,0.07,50,23.53,2988,24.02,301,24.62,100,25.24,5,26.03,110,,,,,,,,,,,,,,,,,,,,
20071128,89.81,128,22.258,65.02,587.497,24.11,364.09,5.34,6.43,1.09,3.881476,0.06,800,23.29,2281,23.81,208,24.41,100,25.01,50,25.82,255,,,,,,,,,,,,,,,,,,,,
20071129,90.22,124.5,21.326,65.02,589.092,23.97,365.72,5.29,6.4,1.11,3.885394,0.04,512,22.7,3635,23.23,263,23.82,55,24.43,50,25.23,255,,,,,,,,,,,,,,,,,,,,
20071130,88.26,124,24.45,51,577.987,22.87,370.36,5.34,6.44,1.1,3.877254,0.01,2746,22.35,2299,22.88,327,23.46,65,24.09,30,24.89,30,,,,,,,,,,,,,,,,,,,,
20071203,89.8,123,23.32,48.68,578.825,23.61,368.81,5.29,6.41,1.12,3.878853,0.03,1819,22.98,4176,23.49,335,24.07,198,24.71,100,25.53,330,,,,,,,,,,,,,,,,,,,,
20071204,89.53,123.5,23.683,49.75,576.742,23.79,363.34,5.29,6.41,1.12,3.881233,0.03,310,23.4,4716,23.94,329,24.55,135,25.18,10,25.99,10,,,,,,,,,,,,,,,,,,,,
20071205,88.49,123.88,23.632,49.79,573.444,22.53,369.61,5.32,6.5,1.18,3.867371,0.03,110,22.81,4000,23.35,720,23.96,526,24.58,10,25.39,10,,,,,,,,,,,,,,,,,,,,
20071206,90.18,126,23.755,49.43,583.742,20.96,369.87,5.44,6.61,1.17,3.880929,0.03,310,22.77,3835,23.31,1800,23.92,229,24.52,301,25.32,257,,,,,,,,,,,,,,,,,,,,
20071207,88.64,127,24.377,51.16,578.385,20.85,372.88,5.54,6.73,1.19,3.862926,0.03,135,22.3,4762,22.85,275,23.46,295,24.02,301,24.82,1240,,,,,,,,,,,,,,,,,,,,
20071210,88.04,127.1,24.992,52.93,576.311,20.74,375.06,5.57,6.74,1.17,3.856836,0.03,49,22.43,3562,22.97,165,23.55,75,24.13,50,24.93,335,,,,,,,,,,,,,,,,,,,,
