PRODUCT (Click to open in Browser),PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,MARKET TYPE NAME,SYMBOL CODE
Coffee C &#174; Futures,580,KC,KC ,43,2065,Coffee,Coffee C,ICUS,IFUS,Coffee C,KC
Cotton No. 2 Futures,588,CT,CT ,28,2205,Cotton,Cotton No 2,ICUS,IFUS,Cotton No 2,CT
Crude Diff - Dated Brent vs Brent 1st Line Future,15,DBF,DBF,PI,NM89,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,Oil,DBF
Crude Diff –  Midland WTI American Gulf Coast Trade Month vs WTI Cushing Trade Month Future,23622,HOZ,HOZ,O?,,Crude Oil and Refined Products,Am Crude Diffs,ICEU,IFED,Oil Americas,HOZ
Crude Diff – Midland WTI American Gulf Coast 1st Line vs Brent 1st Line Future,23618,HOV,HOV,O-,,Crude Oil and Refined Products,Am Crude Diffs,ICEU,IFED,Oil Americas,HOV
Crude Diff – Midland WTI American Gulf Coast 1st Line vs Dubai 1st Line (Platts) Future,23620,HOX,HOX,O\,,Crude Oil and Refined Products,Am Crude Diffs,ICEU,IFED,Oil Americas,HOX
Crude Diff – Midland WTI American Gulf Coast 1st Line vs WTI 1st Line Future,23619,HOW,HOW,O/,,Crude Oil and Refined Products,Am Crude Diffs,ICEU,IFED,Oil Americas,HOW
Dated Brent Future,1464,PDB,PDB,BD,QJ68,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,Oil,PDB
Dubai 1st Line Future,753,DBI,DBI,DB,OU44,Crude Oil and Refined Products,Dubai Crude,ICEU,IFEU,Dubai Crude Futures,DBI
Dutch TTF Gas Futures,4331,TFM,TFM,CF,,Natural Gas,Dutch TTF BL,ICEU,NDEX,Dutch TTF Gas Futures,TFM
ERCOT North 345KV Real-Time Peak Daily Fixed Price Future,1622,END,END,YK,QM68,Electricity,ERCOT Pk Daily,ICEU,IFED,Financial Power,END
EUA Futures,390,C,ECF,CO,,Emissions,EUA NDEX,ICEU,NDEX,EU Emissions Allowances,ECF
"Ethane, OPIS Mt. Belvieu Non-TET Future",1507,ETE,ETE,ET,QJ67,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,ETE
FCOJ-A Futures,586,OJ,OJ ,96,2200,Frozen Orange Juice,FCOJ A,ICUS,IFUS,FCOJ A,OJ
Fuel Oil 180 CST Singapore Future,20,SZS,SZS,PE,NM86,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,SZS
Fuel Oil 3.5% FOB Rotterdam Barges Future,22,BAR,BAR,PG,NM88,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,BAR
Fuel Oil 380 CST Singapore Future,365,SYS,SYS,PF,NM87,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,SYS
Gasoline - Singapore Mogas 92 Unleaded (Platts) Future,3970,SMT,SMT,V\,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,Oil,SMT
Gasoline Diff - RBOB Gasoline 1st Line vs Argus Eurobob Oxy FOB Rotterdam Barge Future,15983,GDO,GDO,*(,,Crude Oil and Refined Products,Am Ref Diff mt,ICEU,IFED,Oil Americas,GDO
German Power Financial Base Futures,19032,GAB,GAB,AM,,Electricity,German Pwr Fin,ICEU,NDEX,EU Financial Power Futures,GAB
Gold Daily Futures,19498,AUD,AUD,AU,,Precious Metals,Daily Gold Mstr,ICUS,IFUS,Daily Metals,AUD
Heating Oil Arb - Heating Oil 1st Line vs Low Sulphur Gasoil 1st Line Future (in Bbls),3444,ULM,ULM,WG,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,ULM
Heating Oil Crack - NYH ULSHO 1st Line vs Brent 1st Line Future (in Bbls),23615,NYH,NYH,O(,,Crude Oil and Refined Products,Am Cracks bbl,ICEU,IFED,Oil Americas,NYH
Heating Oil Crack - NYH ULSHO 1st Line vs WTI 1st Line Future (in Bbls),23616,NYW,NYW,O*,,Crude Oil and Refined Products,Am Cracks bbl,ICEU,IFED,Oil Americas,NYW
Heating Oil Outright - NYH ULSHO 1st Line Future,23611,NYF,NYF,O8,,Crude Oil and Refined Products,Am Ref bbl,ICEU,IFED,Oil Americas,NYF
Henry LD1 Fixed Price Future,53,H,HNG,NN,R754,Natural Gas,Henry Nat Gas,ICEU,IFED,Henry Hub,HNG
Henry LD1 Fixed Price Future 25K,16961,HHL,HNG,C8,,Natural Gas,HH 25k,ICEU,IFED,Henry Hub,HHL
Henry Swing Future,414,HHD,HHD,HH,L782,Natural Gas,SwSwp HH Daily,ICEU,IFED,Financial Gas,HHD
London Cocoa Futures,15246,C,CCO,LA,,Cocoa,Cocoa UK,ICEU,IFLX,Liffe Commodities,C
Long Gilt Future,6446,R,R,,,Medium/Long Term Interest Rates,Gilt Bond Fut,ICEU,IFLL,Liffe Bonds,R
Low Sulphur Gasoil Futures,5817,G,ULS,GL,,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,IPE Gas Oil Futures,G
MICRO NYSE FANG+&trade; Index Futures,20327,FNG,FNG,BF,,IFUS Indices,IFUS FANG,ICUS,IFUS,IFUS ICE Indices,FNG
MISO Indiana Hub Day-Ahead Peak Fixed Price Future,1860,MCC,MCC,AC,SM90,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,MCC
MISO Indiana Hub Real-Time Peak Fixed Price Future,375,CIN,CIN,CN,938,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,CIN
MSCI ACWI NTR Index Future,5585,MMW,MMW,B\,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MMW
MSCI Brazil NTR  Index Future,15371,MCG,MCG,H6,,MSCI Indices,MSCI Fut UNRSTD,ICEU,IFLL,Liffe Index Futures - Non-US Restricted,MCG
MSCI EAFE Index Future,5571,MFS,MFS,FS,,MSCI Indices,MSCI DEV,ICUS,IFUS,IFUS Equity Indices,MFS
MSCI Emerging Markets Asia (NTR) Index Future,5587,ASN,ASN,B?,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,ASN
MSCI Emerging Markets Index Future,5575,MME,MME,ME,,MSCI Indices,MSCI EM,ICUS,IFUS,IFUS Equity Indices,MME
MSCI World Net Total Return (NTR) Index Future,15377,MCN,MCN,,,MSCI Indices,MSCI Fut UNRSTD,ICEU,IFLL,Liffe Index Futures - Non-US Restricted,MCN
Midland WTI American Gulf Coast Future,22160,HOU,HOU,LY,,Crude Oil and Refined Products,Permian WTI,ICEU,IFEU,Permian WTI Futures,HOU
Mini-Gold Future,5614,YG,YG,YG,,Precious Metals,Mini Gold,ICUS,IFUS,Metals,YG
Mini-Silver Future,5615,YI,YI,YI,,Precious Metals,Mini Silver,ICUS,IFUS,Metals,YI
"Natural Gasoline, OPIS Mt. Belvieu Non-TET Future",1635,NGE,NGE,ZF,QM96,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,NGE
"Normal Butane, OPIS Mt. Belvieu Non-TET Future",1633,NBI,NBI,ZD,QM94,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,NBI
Option On Henry Penultimate Fixed Price Future 25K,16963,HHP,HNG,C9,,Natural Gas,O-HH Pen 25k,ICEU,IFED,Henry Hub,HHP
Option on Henry Penultimate 4-Month Calendar Spread Future,18890,HHR,HHR,0M,,Natural Gas,O-Henry CSO,ICEU,IFED,Financial Gas,HHR
Option on Henry Penultimate 5-Month Calendar Spread Future,18891,HHV,HHV,0N,,Natural Gas,O-Henry CSO,ICEU,IFED,Financial Gas,HHV
Option on Henry Penultimate Fixed Price Future,2930,PHE,HNG,PH,O759,Natural Gas,O-Henry Hub (Pen),ICEU,IFED,Henry Hub,PHE
PJM Day Day-Ahead Peak Fixed Price Future,19849,DCP,DCP,I2,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,DCP
PJM Western Hub Day-Ahead Peak Fixed Price Future,1858,PJC,PJC,AA,SM88,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,PJC
PJM Western Hub Real-Time Peak (800 MWh) Fixed Price Future,286,PJM,PJM,PJ,O934,Electricity,Pwr East Term,ICEU,IFED,Financial Power,PJM
PJM Western Hub Real-Time Peak Calendar Year One Time Mini Fixed Price Future,19129,PMM,PJM,@D,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,PMM
"Propane, Argus CIF ARA Future",1900,APC,APC,A6,SN16,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,APC
"Propane, Argus Far East Index (AFEI) Future",2447,AFE,AFE,QS,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFE
"Propane, Argus Saudi CP Future",2448,SCP,SCP,QT,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,SCP
"Propane, OPIS Mt. Belvieu TET Future",1509,PRL,PRL,RL,QJ66,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRL
"Propane, OPIS Mt. Belvieu TET vs Propane, Argus CIF ARA Future",19488,CEK,CEK,HQ,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,CEK
Regional Greenhouse Gas Initiative Vintage 2018 Future,18628,RGQ,RGQ,C),,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGQ
Regional Greenhouse Gas Initiative Vintage 2019 Future,18629,RGR,RGR,C-,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGR
Regional Greenhouse Gas Initiative Vintage 2020 Future,20503,RGS,RGS,LS,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGS
Robusta Coffee Futures,15247,RC,RC,RC,,Coffee,Robusta,ICEU,IFLX,Liffe Commodities,RC
Silver Daily Futures,20038,HIO,HIO,AV,,Precious Metals,Daily SilverMst,ICUS,IFUS,Daily Metals,HIO
Sugar No. 11 Futures,582,SB,SB ,27,2055,Sugar,Sugar No 11,ICUS,IFUS,Sugar No 11,SB
Sugar No. 16 Futures,1384,SF,SF ,SF,,Sugar,Sugar No 16,ICUS,IFUS,Sugar No 16,SF
UK Natural Gas Futures,236,M,GWM,WM,960,Natural Gas,IPE Nat Gas,ICEU,IFEU,IPE Natural Gas Futures,GWM
US Dollar Index&reg; Futures,608,DX,DX ,XD,2211,ICE U.S. Dollar Index (USDX),US Dollar Index,ICUS,IFUS,US Dollar Index,DX
WTI Crude Futures,425,T,WBS,CS,R755,Crude Oil and Refined Products,ICE WTI,ICEU,IFEU,ICE WTI Crude Futures,WBS
Weekly Average Price on PJM Western Hub Real-Time Peak Fixed Price Future,20091,PJH,PJH,J2,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,PJH
White Sugar Futures,15249,W,WSG,LU,,Sugar,White Sugar,ICEU,IFLX,Liffe Commodities,W
globalCOAL Newcastle Coal Futures,1459,NCF,NCF,N1,QG65,Coal,Coal Newc,ICEU,IFEU,gC Newcastle Coal Futures,NCF
 Diesel Diff - Group 3 ULSD (Platts) vs Heating Oil 1st Line Future,15549,GUH,GUH,(F,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,GUH
3i Group Plc,8434,III,III,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,III
AB NIT (7a/5a) Index Future,19836,NG7,NG7,JA,,Natural Gas,Canada Index,ICEU,IFED,Financial Gas,NG7
AB NIT 5a Swing Future (US/MM),19837,NG5,NG5,JB,,Natural Gas,Canada Swing,ICEU,IFED,Financial Gas,NG5
AB NIT Fixed Price Future,21725,FQN,FQN,K:,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,FQN
AB NIT Index Future,465,AIS,AIS,Y8,QM89,Natural Gas,Canada Index,ICEU,IFED,Financial Gas,AIS
AB NIT Swing Future,501,ASS,ASS,YV,QM79,Natural Gas,Canada Swing,ICEU,IFED,Financial Gas,ASS
AEX Index,21876,YAX,YAX,,,Endex Derivatives,IMEQ.YAX,ICNL,IMEQ,Endex Equity Indices,YAX
ANR SE (Louisiana) Basis Future  ,1881,CGM,CGM,AZ,SN09,Natural Gas,Southeast Basis,ICEU,IFED,Financial Gas,CGM
ANR SE (Louisiana) Index Future,3156,API,API,M2,,Natural Gas,Southeast Index,ICEU,IFED,Financial Gas,API
ANR SE (Louisiana) Physical Basis LD1,1834,XTE,XTE,,,Natural Gas,ANRSE MOPhysGas,NGXC,IEPA,Physical Gas,XTE
ANR SE (Louisiana) Physical Fixed Price Monthly,1828,XTB,XTB,,,Natural Gas,ANRSE MOPhysGas,NGXC,IEPA,Physical Gas,XTB
ANR SE (Louisiana) Physical Fixed Price Spot,1830,XTA,XTA,,,Natural Gas,ANRSE SPPhysGas,NGXC,IEPA,Physical Gas,XTA
ANR SE (Louisiana) Physical Gas Daily Monthly,1831,XTD,XTD,,,Natural Gas,ANRSE MOPhysGas,NGXC,IEPA,Physical Gas,XTD
ANR SE (Louisiana) Physical Gas Daily Spot,1833,XTC,XTC,,,Natural Gas,ANRSE SPPhysGas,NGXC,IEPA,Physical Gas,XTC
ANR SE (Louisiana) Physical Inside FERC,1835,XTF,XTF,,,Natural Gas,ANRSE MOPhysGas,NGXC,IEPA,Physical Gas,XTF
ANR SE (Louisiana) Swing Future,3161,APS,APS,M3,,Natural Gas,Southeast Swing,ICEU,IFED,Financial Gas,APS
ANR SW (Oklahoma) Basis Future ,443,ANO,ANO,Y1,NG67,Natural Gas,Midcont Basis,ICEU,IFED,Financial Gas,ANO
ANR SW (Oklahoma) Index Future,3155,AOI,AOI,MZ,,Natural Gas,Midcont Index,ICEU,IFED,Financial Gas,AOI
ANR SW (Oklahoma) Physical Fixed Price Monthly,2979,XZM,XZM,Z*,,Natural Gas,ANRSW MOPhysGas,NGXC,IEPA,Physical Gas,XZM
ANR SW (Oklahoma) Physical Fixed Price Spot,2981,XZL,XZL,,,Natural Gas,ANRSW SPPhysGas,NGXC,IEPA,Physical Gas,XZL
ANR SW (Oklahoma) Physical Gas Daily Monthly,2982,XZO,XZO,,,Natural Gas,ANRSW MOPhysGas,NGXC,IEPA,Physical Gas,XZO
ANR SW (Oklahoma) Physical Gas Daily Spot,2984,XZN,XZN,,,Natural Gas,ANRSW SPPhysGas,NGXC,IEPA,Physical Gas,XZN
ANR SW (Oklahoma) Swing Future,3160,AOS,AOS,M1,,Natural Gas,Midcont Swing,ICEU,IFED,Financial Gas,AOS
ANR SW Physical Inside FERC,2985,XZQ,XZQ,,,Natural Gas,ANRSW MOPhysGas,NGXC,IEPA,Physical Gas,XZQ
ANR-SW Physical Basis LD1,2986,XZP,XZP,,,Natural Gas,ANRSW MOPhysGas,NGXC,IEPA,Physical Gas,XZP
APC ACE Physical Basis LD1,6371,XX0,XX0,,,Natural Gas,ACE MOPhysGas,NGXC,IEPA,Physical Gas,XX0
APC ACE Physical Fixed Price Monthly,6377,XW9,XW9,,,Natural Gas,ACE MOPhysGas,NGXC,IEPA,Physical Gas,XW9
APC ACE Physical Fixed Price Spot,6375,XW8,XW8,,,Natural Gas,ACE SPPhysGas,NGXC,IEPA,Physical Gas,XW8
APC ACE Physical Gas Daily Monthly,6374,XX2,XX2,,,Natural Gas,ACE MOPhysGas,NGXC,IEPA,Physical Gas,XX2
APC ACE Physical Gas Daily Spot,6372,XX1,XX1,,,Natural Gas,ACE SPPhysGas,NGXC,IEPA,Physical Gas,XX1
APC ACE Physical Natural Gas Intelligence,6370,XX4,XX4,,,Natural Gas,ACE MOPhysGas,NGXC,IEPA,Physical Gas,XX4
API2 Rotterdam Coal Average Price Options (Futures Style Margin),22299,RCA,RCA,J@,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,RCA
API2 Rotterdam Coal Cal 1x Options (Futures Style Margin),19878,ATD,ATD,RC,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,ATD
API2 Rotterdam Coal Early (122 days) Single Expiry Options (Futures Style Margin),21755,RDE,RDE,OP,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,RDE
API2 Rotterdam Coal Early (214 days) Single Expiry Options (Futures Style Margin),21757,RDF,RDF,OQ,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,RDF
API2 Rotterdam Coal Early (305 days) Single Expiry Options (Futures Style Margin),21759,RDG,RDG,OR,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,RDG
API2 Rotterdam Coal Options (Futures Style Margin),22301,RCO,RCO,KB,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,RCO
API2 Rotterdam Coal Qtr 1x Options (Futures Style Margin),19880,ATH,ATH,RQ,,Coal,O-ICE Coal ARA,ICEU,IFEU,ICE Rotterdam Coal Futures,ATH
API4 Richards Bay Coal Cal 1x Options (Futures Style Margin),21745,RBC,RBC,OS,,Coal,O-ICE Coal Rbay,ICEU,IFEU,ICE Richards Bay Coal Futures,RBC
API4 Richards Bay Coal Options (Futures Style Margin),22297,AFO,AFO,KH,,Coal,O-ICE Coal Rbay,ICEU,IFEU,ICE Richards Bay Coal Futures,AFO
API4 Richards Bay Coal Qtr 1x Options (Futures Style Margin),21747,RBD,RBD,OT,,Coal,O-ICE Coal Rbay,ICEU,IFEU,ICE Richards Bay Coal Futures,RBD
ASML Holding NV,21885,FDQ,FDQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,FDQ
Akzo Nobel NV,21881,AKQ,AKQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,AKQ
Algonquin Citygates Basis Future ,2145,ALQ,ALQ,H9,,Natural Gas,Northeast Basis,ICEU,IFED,Financial Gas,ALQ
Algonquin Citygates Fixed Price Future,22258,ALG,ALG,LN,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,ALG
Algonquin Citygates Index Future,3034,ALI,ALI,A\,,Natural Gas,Northeast Index,ICEU,IFED,Financial Gas,ALI
Algonquin Citygates Swing Future,3042,ALS,ALS,D\,,Natural Gas,Northeast Swing,ICEU,IFED,Financial Gas,ALS
Anglo American plc,26256,AFA,AFA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,AFA
Anglo American plc Ex-Event,6818,AHA,AHA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,AHA
Antofagasta PLC,6918,ATT,ATT,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,ANT
Arcelor Mittal,21883,AMO,AMO,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,AMO
Argus Biodiesel FAME Zero FOB Rotterdam (RED Compliant) Future,2086,FAM,FAM,HJ,T037,Biofuels,Ref Outright mt,ICEU,IFEU,Oil,FAM
Argus Biodiesel RME FOB Rotterdam (RED Compliant) Future,2082,ABI,ABI,HI,T036,Biofuels,Ref Outright mt,ICEU,IFEU,Oil,ABI
Argus East Siberian Pacific Ocean (ESPO) Future,3091,ARG,ARG,M>,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,Oil,ARG
Argus Eurobob Non-Oxy FOB Rotterdam Barges Futures Balmo,23413,AEE,AEE,K?,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,AEE
Argus Eurobob OXY FOB Rotterdam Barges VS Platts Naphtha CIF NWE Cargoes Future,4354,EON,EON,0E,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,EON
Argus Eurobob Oxy FOB Rotterdam Barges Average Price Options,5042,AEO,AEO,2Y,T035,Crude Oil and Refined Products,O-Ref Outright mt,ICEU,IFEU,Oil,AEO
Argus Eurobob Oxy FOB Rotterdam Barges Balmo Future,23237,AEP,AEP,9Q,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,AEP
Argus Eurobob Oxy FOB Rotterdam Barges Mini Future,5033,AOM,AOM,RY,EH84,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,AOM
Argus Eurobob Oxy FOB Rotterdam Barges vs Brent 1st Line Future (in Bbls),4667,AEB,AEB,QW,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,Oil,AEB
Argus Houston Methanol Futures,23419,BOM,BOM,NW,,Biofuels,Am Ref mt,ICEU,IFED,Oil Americas,BOM
Argus LLS Future,3088,ARH,ARH,M@,,Crude Oil and Refined Products,Am Crude,ICEU,IFED,Oil Americas,ARH
Argus Mars Future,3089,ARM,ARM,ME,,Crude Oil and Refined Products,Am Crude,ICEU,IFED,Oil Americas,ARM
Argus WTI Houston vs Dated Brent (Platts) future,25759,ACB,ACB,,,Crude Oil and Refined Products,Am Crude Diffs,ICEU,IFED,Oil Americas,ACB
Ashtead Group PLC,6811,AH,AH,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,AH0
Associated British Foods PLC,6747,ABR,ABR,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,ABF
AstraZeneca PLC,7032,AZA,AZA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,AZA
Austrian CEGH VTP Gas Futures,23358,AVM,AVM,A3,,Natural Gas,Austrian VTP BL,ICEU,NDEX,European Gas Futures,AVM
Austrian CEGH VTP Natural Gas Daily Futures,24237,AVL,AVL,,,Natural Gas,EU Gas Daily,ICEU,NDEX,European Gas Futures,AVL
Austrian Power Financial Base Futures,20067,AOT,AOT,AW,,Electricity,Austrian PwrFin,ICEU,NDEX,EU Financial Power Futures,AOT
Austrian Power Financial Peak Futures,20068,AOU,AOU,AX,,Electricity,Austrian PwrFin,ICEU,NDEX,EU Financial Power Futures,AOU
Average Price Option on PJM Western Hub Day-Ahead Peak (1 MW) Fixed Price Future,20135,PJF,PJC,JZ,,Electricity,O-Pwr East Mini,ICEU,IFED,Financial Power,PJF
Aviva PLC,7484,CUA,CUA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,CUA
BAE Systems  PLC,6791,AER,AER,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,AER
BHP Group plc,16086,BTB,BTB,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BTB
BP PLC,7232,BP,BP,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BP
BT Group PLC,7263,BTG,BTG,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BTG
Babcock International Group PLC,7130,BIG,BIG,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BIG
Bakkt &reg; Bitcoin (USD) Cash Settled Monthly Futures,24348,BMC,BTM,,,Bitcoin,Bakkt BTC/USD M,ICSG,IFSG,Singapore Financials,BMC
Bakkt &reg; Bitcoin (USD) Monthly Futures,23808,BTM,BTM,BM,,Bitcoin,Bakkt BTC Month,ICUS,IFUS,Digital Asset Futures,BTM
Barclays PLC,7072,BBL,BBL,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BBL
Barratt Developments PLC,7088,BDV,BDV,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,BDE
Belgian Power Base Futures,4326,BPB,BPB,CG,,Electricity,Belg Pwr Base,ICEU,NDEX,Belgian Power Futures,BPB
Belgian Power Financial Base Futures,19031,BEB,BEB,AE,,Electricity,Belgian Pwr Fin,ICEU,NDEX,EU Financial Power Futures,BEB
Belgian Power Financial Peak Futures,19482,BEP,BEP,AU,,Electricity,Belgian Pwr Fin,ICEU,NDEX,EU Financial Power Futures,BEP
"Benzene, IHS MARKIT US Contract Price Future",5778,BUC,BUC,5H,,Petrochemicals,Aromatics Mstr,ICEU,IFED,Financial Monomers,BUC
"Benzene, IHS MARKIT US Index Fixed Price Future",5779,BUI,BUI,5I,,Petrochemicals,Aromatics Mstr,ICEU,IFED,Financial Monomers,BUI
Biodiesel Diff - Argus Bio-D RME FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,5725,BRI,BRI,3E,,Biofuels,Ref Diffs mt,ICEU,IFEU,Oil,BRI
Biodiesel Diff - Argus BioD FAME 0 FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,5724,BFZ,BFZ,3F,,Biofuels,Ref Diffs mt,ICEU,IFEU,Oil,BFZ
Biodiesel Diff - Argus Biodiesel FAME -10 FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,27059,GNS,GNS,,,Biofuels,Ref Diffs mt,ICEU,IFEU,Oil,GNS
Biodiesel Diff - Argus HVO FOB ARA Range (Class II) vs Low Sulphur Gasoil 1st Line Future,27556,HVO,HVO,,,Biofuels,Ref Diffs mt,ICEU,IFEU,Oil,HVO
Biodiesel Diff - Argus UCOME FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,23775,UCR,UCR,,,Biofuels,Ref Diffs mt,ICEU,IFEU,Oil,UCR
Biodiesel Outright - Argus UCOME FOB ARA Range (Red Compliant) Future,27555,BDB,BDB,,,Biofuels,Ref Outright mt,ICEU,IFEU,Oil,BDB
Biodiesel Outright - D4 RINS (OPIS) Current Year Future,21781,RIK,RIK,LF,,Crude Oil and Refined Products,Am Ref bbl,ICEU,IFED,Oil Americas,RIK
